project_id,project_cause
17200,covid-19
14702,covid-19
14703,covid-19
14704,covid-19
14705,covid-19
14726,covid-19
14802,covid-19
14803,covid-19
14804,covid-19
14805,covid-19
14806,covid-19
14807,covid-19
14808,covid-19
14826,covid-19
14438,covid-19
14439,covid-19
14440,covid-19
14441,covid-19
14442,covid-19
14443,covid-19
14444,covid-19
14445,covid-19
14446,covid-19
14447,covid-19
14448,covid-19
14449,covid-19
14450,covid-19
14451,covid-19
14456,covid-19
14457,covid-19
14458,covid-19
14459,covid-19
14460,covid-19
14461,covid-19
14462,covid-19
14463,covid-19
14464,covid-19
14465,covid-19
14466,covid-19
14467,covid-19
14468,covid-19
14469,covid-19
14532,covid-19
16409,covid-19
16413,covid-19
16433,covid-19
16434,covid-19
14470,unspecified
14471,unspecified
14472,unspecified
14473,unspecified
16452,covid-19
14415,unspecified
14416,unspecified
14417,unspecified
11779,covid-19
11780,covid-19
11781,covid-19
13860,covid-19
13861,covid-19
13862,covid-19
13863,covid-19
13400,covid-19
13410,covid-19
13411,covid-19
13412,covid-19
13413,covid-19
13414,covid-19
13415,covid-19
17100,unspecified
11765,covid-19
11766,covid-19
11767,covid-19
11768,covid-19
11769,covid-19
11770,covid-19
11771,Missing description
11772,Missing description
11773,Missing description
11774,Missing description
11775,Missing description
11782,Missing description
11783,Missing description
11784,Missing description
11785,Missing description
11786,Missing description
13850,covid-19
13851,covid-19
14570,covid-19
14578,covid-19
14580,covid-19
14582,covid-19
14717,covid-19
14718,covid-19
14719,covid-19
14720,covid-19
14730,covid-19
14817,covid-19
14818,covid-19
14819,covid-19
14820,covid-19
14830,covid-19
16448,covid-19
16449,cancer
16450,cancer
16451,covid-19
14809,covid-19
14810,covid-19
14811,covid-19
14812,covid-19
14813,covid-19
14814,covid-19
14815,covid-19
14816,covid-19
14377,covid-19
14378,covid-19
14379,covid-19
14380,covid-19
14383,covid-19
14384,covid-19
14630,covid-19
14631,covid-19
16415,covid-19
16428,covid-19
16436,covid-19
16437,covid-19
16438,covid-19
16440,covid-19
16441,covid-19
16442,covid-19
16443,covid-19
16444,covid-19
16446,cancer
16447,cancer
14561,covid-19
14562,covid-19
14563,covid-19
14581,covid-19
14583,covid-19
14585,covid-19
14589,covid-19
14591,covid-19
14593,covid-19
13807,unspecified
13808,unspecified
13840,covid-19
14542,covid-19
14543,covid-19
11759,covid-19
11760,covid-19
11761,covid-19
14244,unspecified
14245,covid-19
14246,covid-19
14290,unspecified
14291,unspecified
14292,unspecified
14293,unspecified
14294,unspecified
14295,unspecified
14296,unspecified
14297,unspecified
14298,unspecified
14299,unspecified
14500,unspecified
14501,unspecified
14502,unspecified
14503,unspecified
14504,unspecified
14505,unspecified
14506,unspecified
14507,unspecified
14508,unspecified
14509,unspecified
14510,unspecified
14511,unspecified
14520,unspecified
14521,unspecified
14523,unspecified
14524,unspecified
14525,covid-19
14526,covid-19
14527,covid-19
14528,covid-19
14529,covid-19
16800,covid-19
16802,covid-19
16808,covid-19
16809,Missing description
16801,covid-19
16803,covid-19
16804,unspecified
16805,covid-19
16806,covid-19
11747,covid-19
11748,covid-19
11749,covid-19
11750,covid-19
11751,covid-19
11752,covid-19
11741,covid-19
11742,covid-19
11743,covid-19
11744,covid-19
11745,covid-19
11746,covid-19
16500,covid-19
16501,covid-19
16502,covid-19
16503,covid-19
16504,covid-19
16505,covid-19
16506,covid-19
16507,covid-19
16508,covid-19
16600,covid-19
16400,covid-19
16401,covid-19
16402,covid-19
16403,covid-19
16416,covid-19
16417,covid-19
16418,covid-19
16421,covid-19
16422,covid-19
16423,covid-19
16426,covid-19
16429,covid-19
16430,covid-19
16431,covid-19
14190,unspecified
14300,unspecified
14311,unspecified
14700,covid-19
14800,covid-19
14181,unspecified
14184,cancer
14185,cancer
14186,cancer
14187,cancer
16900,cancer
16904,cancer
16905,cancer
16906,cancer
16907,cancer
16908,cancer
16909,cancer
16910,Missing description
16911,cancer
16912,cancer
16913,cancer
16914,cancer
16404,covid-19
16406,covid-19
16408,covid-19
16410,covid-19
16411,covid-19
16412,covid-19
16414,covid-19
16419,covid-19
16420,covid-19
16424,covid-19
16425,covid-19
16427,covid-19
16432,covid-19
16807,covid-19
14200,covid-19
14201,covid-19
14203,covid-19
14216,covid-19
14217,covid-19
14234,covid-19
14235,covid-19
14236,covid-19
14237,covid-19
14238,covid-19
14239,covid-19
14251,covid-19
14253,covid-19
14254,covid-19
14255,covid-19
14256,covid-19
14257,covid-19
14258,covid-19
14259,covid-19
14534,covid-19
14564,covid-19
